1000100010001;1000100010001
0100010001000;0100010001000
1000100010001;1000100010001
0100010001000;0100010001000
1000100010001;1000100010001
0100010001000;0100010001000
1000100010001;1000100010001
0100010001000;0100010001000
1000100010001;1000100010001
0100010001000;0100010001000
1000100010001;1000100010001
0100010001000;0100010001000
1000100010001;1000100010001
0100010001000;0100010001000
1000100010001;1000100010001
0100010001000;0100010001000
1000100010001;1000100010001
0100010001000;0100010001000
1000100010001;1000100010001
